No.,FORMULA,COD.,f'c,EDAD,COLOC.,T.M.A.,REV.,Var,FCPC40-01,AGUA,NAVA 20,0,Lavada,NAVA 5,Reductor,Retardante,0,FIBRA,IMPER
1,A10028D201000,A,100,28,D,20,10,0,198,260,587,0,0,1144,593,692,0,0,0
2,A10028D201400,A,100,28,D,20,14,0,205,267,571,0,0,1146,615,718,0,0,0
3,A10028B201400,A,100,28,B,20,14,0,210,272,616,0,0,1075,631,737,0,0,0
4,A10028B201800,A,100,28,B,20,18,0,218,279,585,0,0,1100,654,763,0,0,0
5,A15028D201000,A,150,28,D,20,10,0,216,254,682,0,0,1038,647,755,0,0,0
6,A15028D201400,A,150,28,D,20,14,0,223,261,671,0,0,1034,669,781,0,0,0
7,A15028B201400,A,150,28,B,20,14,0,228,266,650,0,0,1029,685,800,0,0,0
8,A15028B201800,A,150,28,B,20,18,0,236,273,619,0,0,1054,708,826,0,0,0
9,A20028D201000,A,200,28,D,20,10,0,231,243,752,0,0,988,692,808,0,0,0
10,A20028D201400,A,200,28,D,20,14,0,238,250,737,0,0,964,714,834,0,0,0
11,A20028B201400,A,200,28,B,20,14,0,243,255,657,0,0,1034,730,852,0,0,0
12,A20028B201800,A,200,28,B,20,18,0,251,262,634,0,0,1035,753,878,0,0,0
13,A25028D201000,A,250,28,D,20,10,0,253,238,739,0,0,944,758,885,0,0,0
14,A25028D201400,A,250,28,D,20,14,0,260,245,733,0,0,936,780,911,0,0,0
15,A25028B201400,A,250,28,B,20,14,0,265,250,664,0,0,994,796,929,0,0,0
16,A25028B201800,A,250,28,B,20,18,0,273,257,657,0,0,981,819,955,0,0,0
17,A30028D201000,A,300,28,D,20,10,0,296,239,738,0,0,880,887,1035,0,0,0
18,A30028D201400,A,300,28,D,20,14,0,303,238,735,0,0,916,909,1061,0,0,0
19,A30028B201400,A,300,28,B,20,14,0,308,243,666,0,0,944,925,1080,0,0,0
20,A30028B201800,A,300,28,B,20,18,0,316,250,662,0,0,937,948,1106,0,0,0
21,A35028D201000,A,350,28,D,20,10,0,325,248,779,0,0,857,974,1137,0,0,0
22,A35028D201400,A,350,28,D,20,14,0,332,247,758,0,0,871,996,1163,0,0,0
23,A35028B201400,A,350,28,B,20,14,0,337,252,702,0,0,916,1012,1181,0,0,0
24,A35028B201800,A,350,28,B,20,18,0,345,259,698,0,0,909,1035,1207,0,0,0
25,A10028D201002,A,100,28,D,20,10,2,202,250,597,0,0,1142,605,706,0,0,2
26,A10028D201402,A,100,28,D,20,14,2,209,257,581,0,0,1144,628,732,0,0,2
27,A10028B201402,A,100,28,B,20,14,2,215,262,626,0,0,1073,644,751,0,0,2
28,A10028B201802,A,100,28,B,20,18,2,222,269,595,0,0,1098,667,778,0,0,2
29,A15028D201002,A,150,28,D,20,10,2,220,244,692,0,0,1036,660,770,0,0,2
30,A15028D201402,A,150,28,D,20,14,2,228,251,681,0,0,1032,683,797,0,0,2
31,A15028B201402,A,150,28,B,20,14,2,233,256,660,0,0,1026,699,816,0,0,2
32,A15028B201802,A,150,28,B,20,18,2,241,263,629,0,0,1052,722,842,0,0,2
33,A20028D201002,A,200,28,D,20,10,2,235,220,807,0,0,986,706,824,0,0,2
34,A20028D201402,A,200,28,D,20,14,2,243,227,792,0,0,962,729,850,0,0,2
35,A20028B201402,A,200,28,B,20,14,2,248,232,718,0,-3,1031,745,869,0,0,2
36,A20028B201802,A,200,28,B,20,18,2,256,239,689,0,0,1032,768,896,0,0,3
37,A25028D201002,A,250,28,D,20,10,2,258,215,794,0,0,942,773,902,0,0,3
38,A25028D201402,A,250,28,D,20,14,2,265,222,788,0,0,933,796,929,0,0,3
39,A25028B201402,A,250,28,B,20,14,2,271,227,719,0,0,991,812,948,0,0,3
40,A25028B201802,A,250,28,B,20,18,2,278,234,712,0,0,978,835,974,0,0,3
41,A30028D201002,A,300,28,D,20,10,2,302,216,793,0,0,877,905,1056,0,0,3
42,A30028D201402,A,300,28,D,20,14,2,309,215,790,0,0,912,928,1082,0,0,3
43,A30028B201402,A,300,28,B,20,14,2,315,220,721,0,0,941,944,1101,0,0,3
44,A30028B201802,A,300,28,B,20,18,2,322,227,717,0,0,934,967,1128,0,0,3
45,A35028D201002,A,350,28,D,20,10,2,331,225,834,0,0,853,994,1159,0,0,3
46,A35028D201402,A,350,28,D,20,14,2,339,224,813,0,0,867,1016,1186,0,0,3
47,A35028B201402,A,350,28,B,20,14,2,344,229,757,0,0,913,1033,1205,0,0,3
48,A35028B201802,A,350,28,B,20,18,2,352,236,753,0,0,906,1055,1231,0,0,4
49,A10028D201001,A,100,28,D,20,10,1,204,268,587,0,0,1130,611,713,0,1,0
50,A10028D201401,A,100,28,D,20,14,1,211,275,571,0,0,1132,634,740,0,1,0
51,A10028B201401,A,100,28,B,20,14,1,217,280,616,0,0,1061,650,758,0,1,0
52,A10028B201801,A,100,28,B,20,18,1,224,287,585,0,0,1086,672,784,0,1,0
53,A15028D201001,A,150,28,D,20,10,1,223,262,682,0,0,1023,668,779,0,1,0
54,A15028D201401,A,150,28,D,20,14,1,230,269,671,0,0,1019,690,805,0,1,0
55,A15028B201401,A,150,28,B,20,14,1,235,274,650,0,0,1014,706,824,0,1,0
56,A15028B201801,A,150,28,B,20,18,1,243,281,619,0,0,1039,728,850,0,1,0
57,A20028D201001,A,200,28,D,20,10,1,238,251,752,0,0,973,715,834,0,1,0
58,A20028D201401,A,200,28,D,20,14,1,246,258,737,0,0,949,737,860,0,1,0
59,A20028B201401,A,200,28,B,20,14,1,251,263,657,0,0,1018,753,879,0,1,0
60,A20028B201801,A,200,28,B,20,18,1,259,270,634,0,0,1019,776,905,0,1,0
61,A25028D201001,A,250,28,D,20,10,1,261,246,739,0,0,928,784,914,0,1,0
62,A25028D201401,A,250,28,D,20,14,1,269,253,733,0,0,919,806,940,0,1,0
63,A25028B201401,A,250,28,B,20,14,1,274,258,664,0,0,977,822,959,0,1,0
64,A25028B201801,A,250,28,B,20,18,1,281,265,657,0,0,964,844,985,0,1,0
65,A30028D201001,A,300,28,D,20,10,1,306,247,738,0,0,862,917,1070,0,1,0
66,A30028D201401,A,300,28,D,20,14,1,313,246,735,0,0,897,940,1097,0,1,0
67,A30028B201401,A,300,28,B,20,14,1,319,251,666,0,0,926,956,1115,0,1,0
68,A30028B201801,A,300,28,B,20,18,1,326,258,662,0,0,919,978,1141,0,1,0
69,A35028D201001,A,350,28,D,20,10,1,335,256,779,0,0,838,1006,1173,0,1,0
70,A35028D201401,A,350,28,D,20,14,1,343,255,758,0,0,852,1029,1200,0,1,0
71,A35028B201401,A,350,28,B,20,14,1,348,260,702,0,0,897,1045,1219,0,1,0
72,A35028B201801,A,350,28,B,20,18,1,356,267,698,0,0,890,1067,1244,0,1,0
73,A10028D201012,A,100,28,D,20,10,12,202,260,587,0,0,1144,605,706,0,1,2
74,A10028D201412,A,100,28,D,20,14,12,209,267,571,0,0,1146,628,732,0,1,2
75,A10028B201412,A,100,28,B,20,14,12,215,272,616,0,0,1075,644,751,0,1,2
76,A10028B201812,A,100,28,B,20,18,12,222,279,585,0,0,1100,667,778,0,1,2
77,A15028D201012,A,150,28,D,20,10,12,220,254,682,0,0,1038,660,770,0,1,2
78,A15028D201412,A,150,28,D,20,14,12,228,261,671,0,0,1034,683,797,0,1,2
79,A15028B201412,A,150,28,B,20,14,12,233,266,650,0,0,1029,699,816,0,1,2
80,A15028B201812,A,150,28,B,20,18,12,241,273,619,0,0,1054,722,842,0,1,2
81,A20028D201012,A,200,28,D,20,10,12,235,243,752,0,0,988,706,824,0,1,2
82,A20028D201412,A,200,28,D,20,14,12,243,250,737,0,0,964,729,850,0,1,2
83,A20028B201412,A,200,28,B,20,14,12,248,255,657,0,0,1034,745,869,0,1,2
84,A20028B201812,A,200,28,B,20,18,12,256,262,634,0,0,1035,768,896,0,1,3
85,A25028D201012,A,250,28,D,20,10,12,258,238,739,0,0,944,773,902,0,1,3
86,A25028D201412,A,250,28,D,20,14,12,265,245,733,0,0,936,796,929,0,1,3
87,A25028B201412,A,250,28,B,20,14,12,271,250,664,0,0,994,812,948,0,1,3
88,A25028B201812,A,250,28,B,20,18,12,278,257,657,0,0,981,835,974,0,1,3
89,A30028D201012,A,300,28,D,20,10,12,302,239,738,0,0,880,905,1056,0,1,3
90,A30028D201412,A,300,28,D,20,14,12,309,238,735,0,0,916,928,1082,0,1,3
91,A30028B201412,A,300,28,B,20,14,12,315,243,666,0,0,944,944,1101,0,1,3
92,A30028B201812,A,300,28,B,20,18,12,322,250,662,0,0,937,967,1128,0,1,3
93,A35028D201012,A,350,28,D,20,10,12,331,248,779,0,0,857,994,1159,0,1,3
94,A35028D201412,A,350,28,D,20,14,12,339,247,758,0,0,871,1016,1186,0,1,3
95,A35028B201412,A,350,28,B,20,14,12,344,252,702,0,0,916,1033,1205,0,1,3
96,A35028B201812,A,350,28,B,20,18,12,352,259,698,0,0,909,1055,1231,0,1,4
97,A100RD201000,A,100,R,D,20,10,0,198,254,682,0,0,1056,593,692,0,0,0
98,A100RD201400,A,100,R,D,20,14,0,205,261,671,0,0,1052,615,718,0,0,0
99,A100RB201400,A,100,R,B,20,14,0,210,266,650,0,0,1047,631,737,0,0,0
100,A100RB201800,A,100,R,B,20,18,0,218,273,619,0,0,1072,654,763,0,0,0
101,A150RD201000,A,150,R,D,20,10,0,218,243,752,0,0,1001,653,762,0,0,0
102,A150RD201400,A,150,R,D,20,14,0,225,250,737,0,0,977,675,788,0,0,0
103,A150RB201400,A,150,R,B,20,14,0,230,255,657,0,0,1047,691,807,0,0,0
104,A150RB201800,A,150,R,B,20,18,0,238,262,634,0,0,1048,714,833,0,0,0
105,A200RD201000,A,200,R,D,20,10,0,240,238,739,0,0,957,719,839,0,0,0
106,A200RD201400,A,200,R,D,20,14,0,247,245,733,0,0,949,741,865,0,0,0
107,A200RB201400,A,200,R,B,20,14,0,252,250,664,0,0,1007,757,884,0,0,0
108,A200RB201800,A,200,R,B,20,18,0,260,257,657,0,0,994,780,910,0,0,0
109,A250RD201000,A,250,R,D,20,10,0,273,239,738,0,0,903,818,955,0,0,0
110,A250RD201400,A,250,R,D,20,14,0,280,238,735,0,0,939,840,981,0,0,0
111,A250RB201400,A,250,R,B,20,14,0,285,243,666,0,0,967,856,999,0,0,0
112,A250RB201800,A,250,R,B,20,18,0,293,250,662,0,0,960,879,1025,0,0,0
113,A300RD201000,A,300,R,D,20,10,0,312,248,779,0,0,870,935,1091,0,0,0
114,A300RD201400,A,300,R,D,20,14,0,319,247,758,0,0,884,957,1117,0,0,0
115,A300RB201400,A,300,R,B,20,14,0,324,252,702,0,0,929,973,1136,0,0,0
116,A300RB201800,A,300,R,B,20,18,0,332,259,698,0,0,922,996,1162,0,0,0
117,A350RD201000,A,350,R,D,20,10,0,335,248,788,0,0,840,1004,1172,0,0,0
118,A350RD201400,A,350,R,D,20,14,0,342,247,767,0,0,853,1026,1198,0,0,0
119,A350RB201400,A,350,R,B,20,14,0,347,252,712,0,0,897,1042,1216,0,0,0
120,A350RB201800,A,350,R,B,20,18,0,355,259,708,0,0,891,1065,1242,0,0,0
121,A100RD201002,A,100,R,D,20,10,2,202,245,682,0,0,1056,605,706,0,0,2
122,A100RD201402,A,100,R,D,20,14,2,209,252,671,0,0,1052,628,732,0,0,2
123,A100RB201402,A,100,R,B,20,14,2,215,257,650,0,0,1047,644,751,0,0,2
124,A100RB201802,A,100,R,B,20,18,2,222,264,619,0,0,1072,667,778,0,0,2
125,A150RD201002,A,150,R,D,20,10,2,222,234,752,0,0,1001,666,777,0,0,2
126,A150RD201402,A,150,R,D,20,14,2,230,241,737,0,0,977,689,804,0,0,2
127,A150RB201402,A,150,R,B,20,14,2,235,246,657,0,0,1047,705,823,0,0,2
128,A150RB201802,A,150,R,B,20,18,2,243,253,634,0,0,1048,728,849,0,0,2
129,A200RD201002,A,200,R,D,20,10,2,245,229,739,0,0,957,734,856,0,0,2
130,A200RD201402,A,200,R,D,20,14,2,252,236,733,0,0,949,756,882,0,0,3
131,A200RB201402,A,200,R,B,20,14,2,258,241,664,0,0,1007,773,901,0,0,3
132,A200RB201802,A,200,R,B,20,18,2,265,248,657,0,0,994,795,928,0,0,3
133,A250RD201002,A,250,R,D,20,10,2,278,230,738,0,0,903,835,974,0,0,3
134,A250RD201402,A,250,R,D,20,14,2,286,229,735,0,0,939,857,1000,0,0,3
135,A250RB201402,A,250,R,B,20,14,2,291,234,666,0,0,967,873,1019,0,0,3
136,A250RB201802,A,250,R,B,20,18,2,299,241,662,0,0,960,896,1046,0,0,3
137,A300RD201002,A,300,R,D,20,10,2,318,239,779,0,0,870,954,1113,0,0,3
138,A300RD201402,A,300,R,D,20,14,2,326,238,758,0,0,884,977,1139,0,0,3
139,A300RB201402,A,300,R,B,20,14,2,331,243,702,0,0,929,993,1158,0,0,3
140,A300RB201802,A,300,R,B,20,18,2,339,250,698,0,0,922,1016,1185,0,0,3
141,A350RD201002,A,350,R,D,20,10,2,341,241,788,0,0,840,1024,1195,0,0,3
142,A350RD201402,A,350,R,D,20,14,2,349,248,767,0,0,853,1047,1221,0,0,3
143,A350RB201402,A,350,R,B,20,14,2,354,253,712,0,0,897,1063,1240,0,0,4
144,A350RB201802,A,350,R,B,20,18,2,362,260,708,0,0,891,1086,1267,0,0,4
145,A100RD201001,A,100,R,D,20,10,1,204,262,682,0,0,1042,612,714,0,1,0
146,A100RD201401,A,100,R,D,20,14,1,211,269,671,0,0,1038,634,740,0,1,0
147,A100RB201401,A,100,R,B,20,14,1,217,274,650,0,0,1032,650,759,0,1,0
148,A100RB201801,A,100,R,B,20,18,1,224,281,619,0,0,1058,673,785,0,1,0
149,A150RD201001,A,150,R,D,20,10,1,225,251,752,0,0,986,675,787,0,1,0
150,A150RD201401,A,150,R,D,20,14,1,232,258,737,0,0,962,697,813,0,1,0
151,A150RB201401,A,150,R,B,20,14,1,238,263,657,0,0,1031,713,832,0,1,0
152,A150RB201801,A,150,R,B,20,18,1,245,270,634,0,0,1032,735,858,0,1,0
153,A200RD201001,A,200,R,D,20,10,1,248,246,739,0,0,941,743,867,0,1,0
154,A200RD201401,A,200,R,D,20,14,1,255,253,733,0,0,932,766,893,0,1,0
155,A200RB201401,A,200,R,B,20,14,1,261,258,664,0,0,991,782,912,0,1,0
156,A200RB201801,A,200,R,B,20,18,1,268,265,657,0,0,977,804,938,0,1,0
157,A250RD201001,A,250,R,D,20,10,1,282,247,738,0,0,886,846,986,0,1,0
158,A250RD201401,A,250,R,D,20,14,1,290,246,735,0,0,921,869,1013,0,1,0
159,A250RB201401,A,250,R,B,20,14,1,295,251,666,0,0,950,885,1032,0,1,0
160,A250RB201801,A,250,R,B,20,18,1,302,258,662,0,0,942,907,1058,0,1,0
161,A300RD201001,A,300,R,D,20,10,1,322,256,779,0,0,851,965,1126,0,1,0
162,A300RD201401,A,300,R,D,20,14,1,330,255,758,0,0,865,989,1153,0,1,0
163,A300RB201401,A,300,R,B,20,14,1,335,260,702,0,0,911,1004,1172,0,1,0
164,A300RB201801,A,300,R,B,20,18,1,342,267,698,0,0,904,1026,1198,0,1,0
165,A350RD201001,A,350,R,D,20,10,1,346,256,788,0,0,821,1037,1209,0,1,0
166,A350RD201401,A,350,R,D,20,14,1,353,255,767,0,0,834,1060,1236,0,1,0
